o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment
44579,42577,O,27215.38,1994-12-29,4-NOT SPECIFIED,Clerk#000000820,0,Lazy dog
44580,145656,P,18341.5,1997-06-27,3-MEDIUM,Clerk#000000388,0,Check address
44581,25564,F,29617.86,1995-05-05,2-HIGH,Clerk#000000381,0,Deliver ASAP
44582,67128,O,2879.73,1996-02-08,3-MEDIUM,Clerk#000000943,0,Deliver ASAP
44583,80995,F,3558.4,1998-10-27,1-URGENT,Clerk#000000889,0,Check address
44584,136974,O,31908.24,1996-10-18,2-HIGH,Clerk#000000605,0,Standard order
44585,106384,F,42484.19,1998-10-31,1-URGENT,Clerk#000000156,0,Deliver ASAP
44586,107084,P,26492.26,1995-01-22,2-HIGH,Clerk#000000272,0,Check address
44587,9035,P,20950.13,1996-09-20,4-NOT SPECIFIED,Clerk#000000446,0,Standard order
44588,36418,O,37563.3,1998-11-02,3-MEDIUM,Clerk#000000453,0,Check address
44589,93729,O,46903.57,1992-07-25,1-URGENT,Clerk#000000008,0,Check address
44590,149022,F,42286.27,1995-04-25,4-NOT SPECIFIED,Clerk#000000059,0,Check address
44591,118298,O,4406.83,1992-10-01,1-URGENT,Clerk#000000700,0,Lorem ipsum
44592,33490,P,24984.05,1998-06-14,1-URGENT,Clerk#000000046,0,Deliver ASAP
44593,132877,P,2689.49,1994-02-25,1-URGENT,Clerk#000000183,0,Lazy dog
44594,78148,O,20223.25,1996-04-19,2-HIGH,Clerk#000000376,0,Quick fox
44595,60539,O,28678.44,1992-12-05,2-HIGH,Clerk#000000965,0,Lazy dog
44596,47878,P,6995.72,1994-01-03,2-HIGH,Clerk#000000031,0,Deliver ASAP
44597,53392,O,13627.01,1995-03-06,3-MEDIUM,Clerk#000000368,0,Check address
44598,13230,F,49680.49,1993-10-12,3-MEDIUM,Clerk#000000530,0,Deliver ASAP
44599,148349,P,36971.56,1993-08-17,3-MEDIUM,Clerk#000000806,0,Lazy dog
44600,135363,P,26061.12,1992-01-18,3-MEDIUM,Clerk#000000320,0,Quick fox
44601,93667,O,45700.0,1995-01-11,2-HIGH,Clerk#000000440,0,Check address
44602,50813,O,34049.18,1994-06-10,4-NOT SPECIFIED,Clerk#000000353,0,Lorem ipsum
44603,112204,O,18874.35,1993-11-24,3-MEDIUM,Clerk#000000411,0,Standard order
44604,107633,P,3422.25,1995-04-17,4-NOT SPECIFIED,Clerk#000000064,0,Deliver ASAP
44605,2524,P,49462.18,1994-02-21,3-MEDIUM,Clerk#000000246,0,Check address
44606,99965,O,19927.41,1998-12-01,2-HIGH,Clerk#000000656,0,Lorem ipsum
44607,138703,F,4258.67,1998-01-15,4-NOT SPECIFIED,Clerk#000000122,0,Deliver ASAP
44608,4513,O,19922.01,1993-11-06,3-MEDIUM,Clerk#000000808,0,Lazy dog
44609,8330,F,20060.84,1995-06-14,4-NOT SPECIFIED,Clerk#000000561,0,Lorem ipsum
44610,11753,F,22760.41,1994-05-03,2-HIGH,Clerk#000000053,0,Check address
44611,116442,O,35688.31,1997-06-07,3-MEDIUM,Clerk#000000506,0,Deliver ASAP
44612,76585,F,367.74,1992-07-11,2-HIGH,Clerk#000000816,0,Lorem ipsum
44613,40104,P,27027.0,1995-09-10,1-URGENT,Clerk#000000847,0,Quick fox
44614,115873,O,11688.57,1994-10-08,1-URGENT,Clerk#000000354,0,Lazy dog
44615,64280,O,41654.57,1997-04-09,1-URGENT,Clerk#000000507,0,Deliver ASAP
44616,51004,F,17487.59,1998-06-26,1-URGENT,Clerk#000000050,0,Deliver ASAP
44617,6521,O,15643.47,1994-10-06,4-NOT SPECIFIED,Clerk#000000201,0,Check address
44618,58698,F,8738.25,1994-12-19,4-NOT SPECIFIED,Clerk#000000914,0,Deliver ASAP
44619,70828,P,47673.32,1996-01-16,2-HIGH,Clerk#000000638,0,Deliver ASAP
44620,15107,P,34704.45,1995-11-14,1-URGENT,Clerk#000000040,0,Lorem ipsum
44621,126935,O,33640.18,1998-11-06,1-URGENT,Clerk#000000848,0,Lazy dog
44622,71661,O,10011.91,1998-12-16,4-NOT SPECIFIED,Clerk#000000718,0,Deliver ASAP
44623,51219,P,45498.85,1998-03-28,3-MEDIUM,Clerk#000000057,0,Deliver ASAP
44624,45864,F,21680.17,1993-05-15,4-NOT SPECIFIED,Clerk#000000924,0,Lorem ipsum
44625,98551,O,5414.94,1997-06-16,4-NOT SPECIFIED,Clerk#000000176,0,Quick fox
44626,73124,O,23300.05,1993-12-29,3-MEDIUM,Clerk#000000112,0,Standard order
44627,115030,O,37458.9,1993-10-19,1-URGENT,Clerk#000000141,0,Lazy dog
44628,46996,O,15394.89,1994-03-11,1-URGENT,Clerk#000000765,0,Quick fox
44629,2435,F,21135.07,1997-07-28,4-NOT SPECIFIED,Clerk#000000438,0,Quick fox
44630,115030,P,20670.92,1997-08-27,3-MEDIUM,Clerk#000000930,0,Check address
44631,147564,F,15174.23,1996-09-14,4-NOT SPECIFIED,Clerk#000000345,0,Standard order
44632,46382,P,33442.65,1993-09-27,4-NOT SPECIFIED,Clerk#000000751,0,Deliver ASAP
44633,143945,P,4479.56,1997-04-05,3-MEDIUM,Clerk#000000296,0,Lazy dog
44634,76253,P,7947.42,1996-06-20,4-NOT SPECIFIED,Clerk#000000944,0,Standard order
44635,141625,P,30140.37,1998-04-21,2-HIGH,Clerk#000000704,0,Quick fox
44636,13466,F,12998.92,1992-03-05,1-URGENT,Clerk#000000080,0,Standard order
44637,5921,F,8999.6,1994-11-23,3-MEDIUM,Clerk#000000924,0,Check address
44638,136541,P,33059.0,1993-01-02,2-HIGH,Clerk#000000169,0,Standard order
44639,79614,F,40223.79,1993-10-14,4-NOT SPECIFIED,Clerk#000000680,0,Lorem ipsum
44640,27218,F,22699.87,1996-10-04,2-HIGH,Clerk#000000188,0,Lazy dog
44641,40465,P,20608.66,1998-12-29,1-URGENT,Clerk#000000770,0,Check address
44642,43308,O,25789.98,1994-10-10,3-MEDIUM,Clerk#000000211,0,Deliver ASAP
44643,68276,P,48134.61,1994-10-15,4-NOT SPECIFIED,Clerk#000000940,0,Quick fox
44644,127212,F,24298.3,1996-10-10,2-HIGH,Clerk#000000026,0,Lorem ipsum
44645,57555,O,40545.59,1993-10-04,1-URGENT,Clerk#000000810,0,Deliver ASAP
44646,10663,O,32097.89,1996-02-06,3-MEDIUM,Clerk#000000470,0,Standard order
44647,120527,F,21351.75,1996-04-15,1-URGENT,Clerk#000000772,0,Deliver ASAP
44648,148474,F,49555.44,1997-08-24,3-MEDIUM,Clerk#000000498,0,Deliver ASAP
44649,134563,P,36191.81,1994-11-14,4-NOT SPECIFIED,Clerk#000000562,0,Quick fox
44650,117573,P,49389.63,1994-11-07,3-MEDIUM,Clerk#000000198,0,Deliver ASAP
44651,103219,O,1444.76,1996-11-18,3-MEDIUM,Clerk#000000937,0,Standard order
44652,109947,P,9147.2,1997-11-21,4-NOT SPECIFIED,Clerk#000000605,0,Standard order
44653,130594,O,40740.93,1996-02-16,2-HIGH,Clerk#000000200,0,Deliver ASAP
44654,115278,O,27995.5,1993-06-26,1-URGENT,Clerk#000000176,0,Deliver ASAP
44655,94153,P,3130.42,1998-06-06,4-NOT SPECIFIED,Clerk#000000885,0,Standard order
44656,128788,F,12331.62,1992-08-31,2-HIGH,Clerk#000000114,0,Check address
44657,90320,F,48125.6,1997-10-29,4-NOT SPECIFIED,Clerk#000000247,0,Lazy dog
44658,149690,F,36933.89,1994-08-07,4-NOT SPECIFIED,Clerk#000000947,0,Standard order
44659,26641,O,31646.12,1996-06-08,3-MEDIUM,Clerk#000000384,0,Deliver ASAP
44660,148770,P,7201.4,1997-04-29,3-MEDIUM,Clerk#000000406,0,Lorem ipsum
44661,12542,O,36605.15,1995-02-18,1-URGENT,Clerk#000000115,0,Check address
44662,17355,P,7653.7,1998-04-18,3-MEDIUM,Clerk#000000150,0,Quick fox
44663,104894,F,49673.88,1996-12-06,4-NOT SPECIFIED,Clerk#000000264,0,Check address
44664,49058,O,14289.97,1993-07-06,1-URGENT,Clerk#000000567,0,Check address
44665,97252,O,26624.79,1996-11-28,1-URGENT,Clerk#000000802,0,Quick fox
44666,42440,F,5763.43,1996-04-27,1-URGENT,Clerk#000000280,0,Lorem ipsum
44667,9363,O,29203.4,1995-01-20,1-URGENT,Clerk#000000434,0,Lorem ipsum
44668,13172,O,14593.39,1992-08-30,2-HIGH,Clerk#000000108,0,Lazy dog
44669,68722,P,2025.87,1998-02-23,4-NOT SPECIFIED,Clerk#000000965,0,Lazy dog
44670,114046,O,28249.27,1997-01-25,3-MEDIUM,Clerk#000000162,0,Lazy dog
44671,25976,P,29827.62,1995-02-19,2-HIGH,Clerk#000000170,0,Deliver ASAP
44672,61946,P,39997.2,1995-08-17,4-NOT SPECIFIED,Clerk#000000050,0,Lazy dog
44673,53597,F,41183.26,1992-09-25,2-HIGH,Clerk#000000228,0,Quick fox
44674,81066,P,11486.58,1995-10-11,3-MEDIUM,Clerk#000000016,0,Lazy dog
44675,39219,P,29749.15,1994-11-28,2-HIGH,Clerk#000000212,0,Deliver ASAP
44676,16583,O,2556.72,1997-09-05,1-URGENT,Clerk#000000811,0,Lazy dog
44677,101553,O,38667.55,1996-10-16,1-URGENT,Clerk#000000701,0,Standard order
44678,1148,F,26473.93,1993-04-15,1-URGENT,Clerk#000000950,0,Lazy dog
44679,105055,P,40441.95,1993-05-13,2-HIGH,Clerk#000000612,0,Lorem ipsum
44680,97566,F,16752.33,1993-10-17,1-URGENT,Clerk#000000333,0,Lorem ipsum
44681,70243,F,39414.3,1995-01-14,1-URGENT,Clerk#000000146,0,Quick fox
44682,96111,F,15079.89,1997-09-19,2-HIGH,Clerk#000000817,0,Check address
44683,135108,P,48732.84,1995-02-15,4-NOT SPECIFIED,Clerk#000000688,0,Lorem ipsum
44684,26859,O,34314.36,1998-09-03,3-MEDIUM,Clerk#000000081,0,Quick fox
44685,75454,O,33086.29,1994-06-19,4-NOT SPECIFIED,Clerk#000000606,0,Check address
44686,37823,P,23968.32,1998-06-21,2-HIGH,Clerk#000000077,0,Quick fox
44687,37632,P,18630.68,1994-09-30,2-HIGH,Clerk#000000996,0,Lorem ipsum
44688,145504,O,49162.47,1992-07-07,3-MEDIUM,Clerk#000000441,0,Quick fox
44689,110390,F,22028.3,1998-07-29,1-URGENT,Clerk#000000002,0,Standard order
44690,137247,F,3766.75,1992-06-04,2-HIGH,Clerk#000000861,0,Standard order
44691,84065,O,12988.1,1998-07-08,2-HIGH,Clerk#000000594,0,Deliver ASAP
44692,99009,O,30578.5,1992-11-15,2-HIGH,Clerk#000000533,0,Lorem ipsum
44693,75497,P,26864.41,1996-11-22,1-URGENT,Clerk#000000334,0,Deliver ASAP
44694,99374,P,49877.03,1995-03-15,3-MEDIUM,Clerk#000000621,0,Quick fox
44695,110371,O,19283.47,1993-09-06,1-URGENT,Clerk#000000295,0,Check address
44696,26860,F,31961.24,1992-07-06,3-MEDIUM,Clerk#000000144,0,Quick fox
44697,74497,O,8986.6,1996-01-23,1-URGENT,Clerk#000000182,0,Standard order
44698,47799,O,12792.33,1992-02-09,4-NOT SPECIFIED,Clerk#000000403,0,Check address
44699,47643,F,1237.55,1993-04-10,4-NOT SPECIFIED,Clerk#000000023,0,Standard order
44700,44684,P,6693.61,1998-10-12,4-NOT SPECIFIED,Clerk#000000341,0,Quick fox
44701,8452,O,17680.05,1996-02-14,4-NOT SPECIFIED,Clerk#000000564,0,Lazy dog
44702,52096,P,3143.31,1997-09-24,2-HIGH,Clerk#000000854,0,Quick fox
44703,48395,F,47899.71,1992-05-03,1-URGENT,Clerk#000000186,0,Lazy dog
44704,136348,P,7026.86,1998-04-19,2-HIGH,Clerk#000000986,0,Standard order
44705,22856,P,6315.34,1995-05-25,3-MEDIUM,Clerk#000000081,0,Lorem ipsum
44706,108136,F,41549.1,1998-04-11,3-MEDIUM,Clerk#000000248,0,Quick fox
44707,22625,F,38118.52,1994-04-10,1-URGENT,Clerk#000000688,0,Quick fox
44708,149687,O,27143.12,1994-07-05,2-HIGH,Clerk#000000443,0,Lazy dog
44709,109895,O,43278.86,1994-12-18,1-URGENT,Clerk#000000971,0,Standard order
44710,60982,P,33352.25,1992-04-30,3-MEDIUM,Clerk#000000123,0,Lorem ipsum
44711,41621,F,27698.98,1996-05-22,4-NOT SPECIFIED,Clerk#000000602,0,Quick fox
44712,119729,O,2203.9,1992-02-13,1-URGENT,Clerk#000000412,0,Standard order
44713,11042,F,15193.15,1992-08-24,4-NOT SPECIFIED,Clerk#000000390,0,Deliver ASAP
44714,76154,O,16510.5,1995-08-02,2-HIGH,Clerk#000000792,0,Standard order
44715,66647,F,23980.73,1994-06-07,2-HIGH,Clerk#000000665,0,Standard order
44716,118434,O,29160.77,1993-06-22,2-HIGH,Clerk#000000546,0,Standard order
44717,31208,F,37572.18,1994-08-15,3-MEDIUM,Clerk#000000231,0,Deliver ASAP
44718,13108,P,42585.59,1996-05-10,4-NOT SPECIFIED,Clerk#000000069,0,Quick fox
44719,132913,P,3521.17,1996-12-30,4-NOT SPECIFIED,Clerk#000000372,0,Lorem ipsum
44720,116599,O,20547.03,1994-04-13,4-NOT SPECIFIED,Clerk#000000003,0,Standard order
44721,109407,P,18451.21,1996-02-06,1-URGENT,Clerk#000000912,0,Lorem ipsum
44722,33511,P,5841.3,1992-12-23,2-HIGH,Clerk#000000919,0,Quick fox
44723,3161,O,14906.08,1994-06-07,1-URGENT,Clerk#000000568,0,Lorem ipsum
44724,37310,P,31159.81,1995-02-02,1-URGENT,Clerk#000000962,0,Lazy dog
44725,56719,F,2036.88,1992-10-28,2-HIGH,Clerk#000000605,0,Quick fox
44726,23392,P,8088.73,1996-04-18,2-HIGH,Clerk#000000422,0,Lazy dog
44727,14296,O,12500.04,1994-04-16,1-URGENT,Clerk#000000406,0,Quick fox
44728,108152,O,6678.95,1998-10-02,1-URGENT,Clerk#000000762,0,Lorem ipsum
44729,47037,F,17154.61,1996-03-04,4-NOT SPECIFIED,Clerk#000000937,0,Deliver ASAP
44730,83488,O,10729.68,1997-08-05,2-HIGH,Clerk#000000176,0,Quick fox
44731,59673,F,33722.23,1995-04-27,4-NOT SPECIFIED,Clerk#000000796,0,Lazy dog
44732,109513,P,25042.31,1998-07-31,4-NOT SPECIFIED,Clerk#000000952,0,Quick fox
44733,146670,P,36967.68,1995-12-20,3-MEDIUM,Clerk#000000916,0,Standard order
44734,106974,F,5702.24,1994-09-26,3-MEDIUM,Clerk#000000603,0,Lazy dog
44735,37474,P,13563.57,1997-11-20,1-URGENT,Clerk#000000011,0,Deliver ASAP
44736,142,P,41191.51,1996-04-28,2-HIGH,Clerk#000000373,0,Quick fox
44737,4656,O,34910.79,1996-01-18,1-URGENT,Clerk#000000685,0,Deliver ASAP
44738,109067,P,7775.7,1994-12-06,1-URGENT,Clerk#000000309,0,Quick fox
44739,62972,P,43968.97,1994-11-21,1-URGENT,Clerk#000000021,0,Lorem ipsum
44740,94139,P,12107.56,1996-08-31,2-HIGH,Clerk#000000065,0,Standard order
44741,127685,O,4845.37,1996-09-30,1-URGENT,Clerk#000000524,0,Quick fox
44742,25786,O,36479.13,1993-06-22,1-URGENT,Clerk#000000839,0,Standard order
44743,138461,P,7986.3,1998-12-10,3-MEDIUM,Clerk#000000698,0,Deliver ASAP
44744,92241,O,12529.7,1996-08-10,2-HIGH,Clerk#000000549,0,Check address
44745,52958,O,17774.72,1998-01-31,2-HIGH,Clerk#000000772,0,Lorem ipsum
44746,102809,F,22409.86,1998-02-12,2-HIGH,Clerk#000000461,0,Quick fox
44747,33742,P,32065.93,1994-03-26,1-URGENT,Clerk#000000431,0,Standard order
44748,101243,O,22046.56,1997-11-11,4-NOT SPECIFIED,Clerk#000000935,0,Quick fox
44749,86,P,15362.01,1996-03-06,2-HIGH,Clerk#000000126,0,Check address
44750,89644,F,16701.43,1997-07-26,1-URGENT,Clerk#000000617,0,Lazy dog
44751,42757,F,30320.4,1992-09-11,3-MEDIUM,Clerk#000000209,0,Quick fox
44752,79976,O,14848.82,1995-01-12,4-NOT SPECIFIED,Clerk#000000781,0,Lorem ipsum
44753,90572,F,30718.17,1996-09-27,2-HIGH,Clerk#000000198,0,Lorem ipsum
44754,80612,F,16929.51,1997-11-15,2-HIGH,Clerk#000000849,0,Quick fox
44755,84429,F,39615.06,1992-10-24,3-MEDIUM,Clerk#000000373,0,Quick fox
44756,50297,F,36675.33,1994-02-13,4-NOT SPECIFIED,Clerk#000000253,0,Check address
44757,122517,F,26934.04,1993-05-09,1-URGENT,Clerk#000000614,0,Check address
44758,81248,O,38558.26,1992-03-10,3-MEDIUM,Clerk#000000989,0,Lorem ipsum
44759,94001,F,37947.5,1996-03-03,2-HIGH,Clerk#000000814,0,Quick fox
44760,63928,F,43109.16,1992-08-27,4-NOT SPECIFIED,Clerk#000000913,0,Lorem ipsum
44761,53817,O,10323.6,1992-02-18,4-NOT SPECIFIED,Clerk#000000459,0,Lazy dog
44762,128853,O,48328.87,1994-12-01,2-HIGH,Clerk#000000162,0,Check address
44763,109757,P,3541.8,1998-05-04,2-HIGH,Clerk#000000246,0,Standard order
44764,47973,P,7638.28,1995-04-10,2-HIGH,Clerk#000000861,0,Lorem ipsum
44765,63717,O,11309.33,1997-12-17,1-URGENT,Clerk#000000134,0,Quick fox
44766,78979,P,42611.57,1994-01-07,1-URGENT,Clerk#000000948,0,Standard order
44767,53283,O,36724.45,1997-06-17,3-MEDIUM,Clerk#000000753,0,Quick fox
44768,58569,F,12748.18,1993-01-12,3-MEDIUM,Clerk#000000098,0,Deliver ASAP
44769,99496,O,29293.64,1993-12-06,1-URGENT,Clerk#000000806,0,Quick fox
44770,49136,O,16163.56,1996-03-31,1-URGENT,Clerk#000000756,0,Lorem ipsum
44771,146943,P,18309.01,1992-01-01,4-NOT SPECIFIED,Clerk#000000581,0,Standard order
44772,60662,P,22263.7,1993-02-04,1-URGENT,Clerk#000000736,0,Lazy dog
44773,136994,F,5574.34,1995-11-03,2-HIGH,Clerk#000000820,0,Quick fox
44774,94745,P,23129.58,1994-07-06,1-URGENT,Clerk#000000496,0,Deliver ASAP
44775,19896,O,39156.33,1992-09-12,2-HIGH,Clerk#000000640,0,Deliver ASAP
44776,29216,F,38313.64,1997-09-10,3-MEDIUM,Clerk#000000661,0,Check address
44777,13462,F,2582.02,1997-03-31,3-MEDIUM,Clerk#000000039,0,Quick fox
44778,130943,O,11648.58,1997-12-02,2-HIGH,Clerk#000000623,0,Lorem ipsum
44779,106329,F,1025.44,1997-05-22,2-HIGH,Clerk#000000217,0,Lazy dog
44780,48917,F,33951.97,1997-04-07,1-URGENT,Clerk#000000631,0,Lazy dog
44781,111337,O,1027.86,1993-04-24,4-NOT SPECIFIED,Clerk#000000352,0,Check address
44782,30672,O,14409.29,1998-12-04,3-MEDIUM,Clerk#000000034,0,Lazy dog
44783,111612,F,49277.67,1997-04-16,1-URGENT,Clerk#000000438,0,Quick fox
44784,102933,O,20180.64,1993-05-27,2-HIGH,Clerk#000000430,0,Lazy dog
44785,10131,P,27117.69,1993-09-12,2-HIGH,Clerk#000000522,0,Lazy dog
44786,115704,P,35892.05,1992-11-14,3-MEDIUM,Clerk#000000882,0,Check address
44787,71694,P,44256.9,1992-08-15,3-MEDIUM,Clerk#000000232,0,Deliver ASAP
44788,117272,F,23610.27,1997-01-18,3-MEDIUM,Clerk#000000377,0,Check address
44789,70676,O,10000.4,1993-06-16,2-HIGH,Clerk#000000101,0,Lazy dog
44790,17312,F,13540.32,1992-11-17,1-URGENT,Clerk#000000861,0,Deliver ASAP
44791,108008,O,22819.47,1995-01-26,1-URGENT,Clerk#000000913,0,Lazy dog
44792,50890,O,27212.53,1992-06-13,1-URGENT,Clerk#000000172,0,Lorem ipsum
44793,104884,F,17604.69,1995-01-04,3-MEDIUM,Clerk#000000449,0,Standard order
44794,144705,P,41149.24,1997-06-16,4-NOT SPECIFIED,Clerk#000000226,0,Deliver ASAP
44795,3039,F,20112.16,1997-05-15,4-NOT SPECIFIED,Clerk#000000534,0,Lorem ipsum
44796,7220,F,48312.61,1997-10-12,4-NOT SPECIFIED,Clerk#000000994,0,Check address
44797,72037,F,12860.91,1992-11-24,2-HIGH,Clerk#000000670,0,Standard order
44798,149178,P,13708.56,1998-11-28,4-NOT SPECIFIED,Clerk#000000265,0,Lorem ipsum
44799,117455,F,44092.83,1994-10-26,4-NOT SPECIFIED,Clerk#000000371,0,Lorem ipsum
44800,2826,P,8978.3,1996-09-05,3-MEDIUM,Clerk#000000820,0,Check address
44801,127302,P,14865.3,1993-12-22,2-HIGH,Clerk#000000546,0,Standard order
44802,23055,F,9186.3,1998-05-07,4-NOT SPECIFIED,Clerk#000000737,0,Lazy dog
44803,41179,P,41210.17,1995-07-31,2-HIGH,Clerk#000000995,0,Check address
44804,147861,P,2183.5,1996-12-03,1-URGENT,Clerk#000000645,0,Lorem ipsum
44805,13078,P,11561.36,1992-11-10,1-URGENT,Clerk#000000231,0,Deliver ASAP
44806,71695,O,43252.97,1994-03-31,4-NOT SPECIFIED,Clerk#000000089,0,Check address
44807,86342,P,41035.22,1993-02-19,1-URGENT,Clerk#000000673,0,Standard order
44808,75564,F,3852.33,1998-08-30,2-HIGH,Clerk#000000171,0,Check address
44809,28254,O,17569.63,1993-10-09,2-HIGH,Clerk#000000576,0,Lazy dog
44810,105348,P,21447.24,1998-03-08,4-NOT SPECIFIED,Clerk#000000324,0,Lazy dog
44811,46854,F,22743.27,1997-02-12,2-HIGH,Clerk#000000642,0,Standard order
44812,148262,P,13892.85,1994-02-26,1-URGENT,Clerk#000000086,0,Deliver ASAP
44813,43155,F,44205.92,1997-09-29,3-MEDIUM,Clerk#000000079,0,Standard order
44814,105540,P,10287.45,1995-11-02,4-NOT SPECIFIED,Clerk#000000491,0,Deliver ASAP
44815,82424,P,44208.56,1992-05-04,3-MEDIUM,Clerk#000000081,0,Quick fox
44816,121925,F,33128.23,1994-09-25,3-MEDIUM,Clerk#000000101,0,Deliver ASAP
44817,89647,O,37010.98,1995-01-23,1-URGENT,Clerk#000000442,0,Lazy dog
44818,136256,F,6099.2,1995-07-24,2-HIGH,Clerk#000000228,0,Quick fox
44819,19024,O,39336.55,1997-04-09,3-MEDIUM,Clerk#000000387,0,Deliver ASAP
44820,8958,P,4527.39,1996-08-15,1-URGENT,Clerk#000000357,0,Deliver ASAP
44821,16621,P,13808.75,1992-03-31,4-NOT SPECIFIED,Clerk#000000992,0,Lorem ipsum
44822,4492,P,27931.4,1994-11-12,1-URGENT,Clerk#000000426,0,Standard order
44823,108501,P,23018.98,1994-11-13,3-MEDIUM,Clerk#000000901,0,Standard order
44824,38729,O,22260.9,1994-09-12,1-URGENT,Clerk#000000902,0,Check address
44825,64651,O,48289.42,1992-08-20,4-NOT SPECIFIED,Clerk#000000778,0,Deliver ASAP
44826,3388,P,10538.89,1993-12-24,1-URGENT,Clerk#000000028,0,Quick fox
44827,16026,P,4513.39,1994-11-06,3-MEDIUM,Clerk#000000759,0,Lazy dog
44828,132519,F,9993.88,1995-10-30,1-URGENT,Clerk#000000286,0,Standard order
44829,104674,F,31998.31,1995-08-03,2-HIGH,Clerk#000000180,0,Deliver ASAP
44830,103897,O,8284.74,1995-01-10,3-MEDIUM,Clerk#000000361,0,Check address
44831,59389,O,47561.18,1997-12-25,4-NOT SPECIFIED,Clerk#000000816,0,Quick fox
44832,120748,F,28466.06,1997-03-17,3-MEDIUM,Clerk#000000273,0,Lorem ipsum
44833,110931,F,29537.75,1996-02-18,3-MEDIUM,Clerk#000000776,0,Lorem ipsum
44834,129443,F,1273.04,1994-04-12,1-URGENT,Clerk#000000942,0,Quick fox
44835,34227,P,23219.63,1994-10-21,4-NOT SPECIFIED,Clerk#000000586,0,Quick fox
44836,18407,P,13350.94,1996-10-29,1-URGENT,Clerk#000000496,0,Standard order
44837,22990,F,13820.0,1997-09-04,1-URGENT,Clerk#000000902,0,Lazy dog
44838,42581,P,48590.9,1992-06-02,1-URGENT,Clerk#000000824,0,Standard order
44839,45732,P,8854.65,1997-04-09,2-HIGH,Clerk#000000893,0,Deliver ASAP
44840,77542,F,20287.97,1997-11-14,3-MEDIUM,Clerk#000000146,0,Lazy dog
44841,137934,P,2944.34,1995-12-23,3-MEDIUM,Clerk#000000611,0,Deliver ASAP
44842,40040,F,20540.75,1992-11-07,2-HIGH,Clerk#000000332,0,Quick fox
44843,141426,P,9298.47,1997-10-17,1-URGENT,Clerk#000000893,0,Lazy dog
44844,106172,F,6955.16,1998-12-23,1-URGENT,Clerk#000000496,0,Deliver ASAP
44845,146703,O,45869.47,1995-10-04,4-NOT SPECIFIED,Clerk#000000734,0,Lazy dog
44846,64051,O,43660.95,1992-10-30,3-MEDIUM,Clerk#000000926,0,Lorem ipsum
44847,127282,P,13841.37,1995-01-03,4-NOT SPECIFIED,Clerk#000000253,0,Quick fox
44848,70255,O,22693.54,1995-11-10,1-URGENT,Clerk#000000463,0,Lorem ipsum
44849,102455,F,21913.02,1994-06-10,3-MEDIUM,Clerk#000000465,0,Quick fox
44850,16908,O,16324.78,1998-10-28,2-HIGH,Clerk#000000939,0,Standard order
44851,100786,F,10891.41,1993-09-25,3-MEDIUM,Clerk#000000056,0,Check address
44852,4485,F,800.89,1995-11-21,3-MEDIUM,Clerk#000000542,0,Check address
44853,23195,O,47862.03,1993-01-25,1-URGENT,Clerk#000000670,0,Quick fox
44854,23887,F,21886.07,1993-11-29,3-MEDIUM,Clerk#000000873,0,Deliver ASAP
44855,8538,F,39909.16,1997-01-08,2-HIGH,Clerk#000000765,0,Lazy dog
44856,23400,O,3309.0,1998-03-01,3-MEDIUM,Clerk#000000042,0,Standard order
44857,91811,F,41118.47,1997-11-02,1-URGENT,Clerk#000000197,0,Standard order
44858,6893,P,19136.57,1998-11-22,4-NOT SPECIFIED,Clerk#000000826,0,Quick fox
44859,129580,P,36976.49,1993-04-03,3-MEDIUM,Clerk#000000114,0,Check address
44860,40545,F,34622.01,1997-12-18,2-HIGH,Clerk#000000336,0,Lazy dog
44861,107618,P,1114.62,1993-06-22,4-NOT SPECIFIED,Clerk#000000543,0,Deliver ASAP
44862,19268,O,40209.69,1996-01-22,3-MEDIUM,Clerk#000000536,0,Lazy dog
44863,40397,O,3843.17,1997-05-11,4-NOT SPECIFIED,Clerk#000000912,0,Lorem ipsum
44864,113205,F,45770.91,1998-07-09,1-URGENT,Clerk#000000883,0,Lazy dog
44865,107479,F,9600.02,1996-09-05,4-NOT SPECIFIED,Clerk#000000941,0,Quick fox
44866,43405,P,12199.62,1997-12-30,2-HIGH,Clerk#000000989,0,Lazy dog
44867,51737,P,12694.78,1992-04-08,3-MEDIUM,Clerk#000000485,0,Lazy dog
44868,146710,F,29362.05,1996-10-13,2-HIGH,Clerk#000000723,0,Check address
44869,66844,P,43869.97,1993-07-15,4-NOT SPECIFIED,Clerk#000000999,0,Check address
44870,146653,O,48914.99,1994-09-15,2-HIGH,Clerk#000000652,0,Deliver ASAP
44871,51377,P,24731.95,1993-01-03,3-MEDIUM,Clerk#000000930,0,Lorem ipsum
44872,36213,O,24331.95,1992-11-04,4-NOT SPECIFIED,Clerk#000000306,0,Standard order
44873,50404,O,15003.9,1995-09-04,1-URGENT,Clerk#000000842,0,Lazy dog
44874,91127,O,20010.77,1994-04-01,3-MEDIUM,Clerk#000000226,0,Deliver ASAP
44875,70278,F,26378.13,1994-10-21,1-URGENT,Clerk#000000637,0,Lazy dog
44876,109711,P,43927.53,1996-11-02,4-NOT SPECIFIED,Clerk#000000206,0,Standard order
44877,26608,F,33463.88,1994-10-05,4-NOT SPECIFIED,Clerk#000000631,0,Lazy dog
